,init_value,est_value
ACT_init,0.40912882612522933,0.4095951971932853
k_act,0.2033865730497665,0.20426485146143789
kb_cca,0.15115401814095708,0.15115322166541864
kp_cca_act,0.736997086792032,0.7377737864489492
kp_cca,0.28184516556988903,0.28182631094442395
kd_cca,0.8361073567519867,0.8361358003630387
kb_sasp,0.48687641576063756,0.4875998962792063
kp_sasp_sen,0.022353746813569948,0.022402907515006707
kp_sasp_cca,0.19375160407654707,0.19564208477275663
kd_sasp,0.037871022195422835,0.03783735328988497
kb_sen,0.20318974530846037,0.20318429448126754
kp_sen_cca,0.7467200752963911,0.7463521703860274
kd_sen,0.05286460901770163,0.05292715217141158
sf_cca,0.8651753474437437,0.8649237736865587
sf_sasp,0.20097252975857968,0.20142387951636065
sf_sen,1.0243663779500523,1.0326124825038943
offset_cca,6.84117556508616,6.8411766164541
offset_sasp,0.5353006634615531,0.5316248921571857
offset_sen,4.077912123643656,4.078113240525312
